Mask,SN,X_n (m) (m),Y_n (m) (m),POMKH,cv_rabi_96_3-POMKH-Krig,cv_rabi_96_3-POMKH-Var,kme,ev,ratio
0,1,628065.0333,3176376.071,3.9,4.26117661,3.69621697,-0.36117661,0.130448544,0.035292448
0,2,633400.2458,3184439.532,2.07,2.040129129,3.35571263,0.029870871,0.000892269,0.000265896
0,3,618845.5081,3175662.742,4.24,7.179917658,4.4935221,-2.939917658,8.643115836,1.923461295
0,4,604039.237,3192603.884,7.72,7.337640917,4.99461485,0.382359083,0.146198468,0.02927122
0,5,589392.5268,3194482.152,8.3,9.080310761,4.66119685,-0.780310761,0.608884884,0.130628442
0,6,595967.6322,3182377.071,9.48,8.956073538,3.59465971,0.523926462,0.274498938,0.076362983
0,7,558905.3026,3196595.01,14.51,15.12388043,4.64415448,-0.613880433,0.376849186,0.081144843
0,8,550281.3818,3199170.258,17.39,14.23305847,5.31175121,3.156941529,9.966279818,1.876270071
0,9,621436.9106,3187386.458,7.12,3.126679093,4.26850475,3.993320907,15.94661187,3.735877737
0,10,623200.4989,3148620.734,12.78,11.16037533,3.20613706,1.619624668,2.623184065,0.818175897
0,11,619055.1992,3155041.882,9.76,11.20942376,3.77200895,-1.44942376,2.100829236,0.556952347
0,12,584016.4754,3169881.174,10.92,10.47214011,8.31523051,0.447859886,0.200578477,0.024121818
0,13,602159.9295,3175196.71,9.43,9.242375715,4.09462088,0.187624285,0.035202872,0.008597346
0,14,645617.2983,3309583.855,8.99,10.33999188,6.05746955,-1.349991876,1.822478065,0.300864585
0,15,620560.839,3140744.524,14.54,12.75026497,4.48211787,1.789735034,3.203151492,0.714651329
0,16,628241.7919,3135284.97,14.48,12.29371927,4.95006464,2.186280732,4.779823439,0.965608287
0,17,671633.1517,3419901.096,9.83,6.767210206,7.12380365,3.062789794,9.380681322,1.316807956
0,18,679418.753,3397483.443,8.65,5.888076983,5.28804523,2.761923017,7.628218752,1.442540376
0,19,679522.6846,3252802.913,1.99,4.750281841,5.97347959,-2.760281841,7.619155842,1.275497091
0,20,663022.212,3247011.109,6.46,2.874690019,4.62451668,3.585309981,12.85444766,2.77963051
0,21,675714.2986,3237500.996,1.95,2.886559071,3.36627536,-0.936559071,0.877142893,0.260567779
0,22,639697.1645,3201999.114,2.06,1.984847012,3.46742305,0.075152988,0.005647972,0.001628867
0,23,635133.1624,3210164.176,2.54,1.717492748,3.39408183,0.822507252,0.67651818,0.199322884
0,24,663620.5244,3214629.027,3.61,3.214037495,2.71905852,0.395962505,0.156786305,0.057661983
0,25,643749.0216,3213655.056,1.85,2.621664802,3.44278284,-0.771664802,0.595466567,0.172960827
0,26,636184.2602,3189858.987,1.19,2.107877263,3.66676363,-0.917877263,0.84249867,0.229766288
0,27,654399.9597,3196090.707,1.66,2.218050484,3.56441694,-0.558050484,0.311420343,0.087369224
